,idx,code,reaction
0,42,29,[C:1]([C:2]([S+:3]([C:4]([c:5]1[c:6]([H:27])[c:7]([H:28])[c:8]([H:29])[c:9]([H:30])[c:10]1[H:31])([H:25])[H:26])[C:13]([c:14]1[c:15]([H:34])[c:16]([H:35])[c:17]([H:36])[c:18]([H:37])[c:19]1[H:38])([H:32])[H:33])([H:23])[H:24])([H:20])([H:21])[H:22].[N:11]#[C-:12]>>[C:1]([C:2]([S:3][C:4]([c:5]1[c:6]([H:27])[c:7]([H:28])[c:8]([H:29])[c:9]([H:30])[c:10]1[H:31])([H:25])[H:26])([H:23])[H:24])([H:20])([H:21])[H:22].[N:11]#[C:12][C:13]([c:14]1[c:15]([H:34])[c:16]([H:35])[c:17]([H:36])[c:18]([H:37])[c:19]1[H:38])([H:32])[H:33]
0,43,30,[C:1]([c:2]1[c:3]([H:22])[c:4]([H:23])[c:5]([S:6](=[O:7])(=[O:8])[Cl:18])[c:16]([H:24])[c:17]1[H:25])([H:19])([H:20])[H:21].[O:9]([C:10]([C:11]1([H:29])[C:12]([H:30])=[C:13]([H:31])[C:14]([H:32])([H:33])[C:15]1([H:34])[H:35])([H:27])[H:28])[H:26]>>[C:1]([c:2]1[c:3]([H:22])[c:4]([H:23])[c:5]([S:6](=[O:7])(=[O:8])[O+:9]([C:10]([C:11]2([H:29])[C:12]([H:30])=[C:13]([H:31])[C:14]([H:32])([H:33])[C:15]2([H:34])[H:35])([H:27])[H:28])[H:26])[c:16]([H:24])[c:17]1[H:25])([H:19])([H:20])[H:21].[Cl-:18]
0,44,31,[C:1]([O+:2]([c:3]1[c:4]([H:14])[c:5]([H:15])[c:6]([H:16])[c:7]([H:17])[c:8]1[H:18])[H:13])([H:10])([H:11])[H:12].[I-:9]>>[C:1]([O:2][c:3]1[c:4]([H:14])[c:5]([H:15])[c:6]([H:16])[c:7]([H:17])[c:8]1[H:18])([H:10])([H:11])[H:12].[I:9][H:13]
1,45,31,[C:1]([O+:2]([c:3]1[c:4]([H:14])[c:5]([H:15])[c:6]([H:16])[c:7]([H:17])[c:8]1[H:18])[H:13])([H:10])([H:11])[H:12].[I-:9]>>[C:1]([I:9])([H:10])([H:11])[H:12].[O:2]([c:3]1[c:4]([H:14])[c:5]([H:15])[c:6]([H:16])[c:7]([H:17])[c:8]1[H:18])[H:13]
0,46,32,[C:1]([C:2]([N:3]([C:4]([H:21])([H:22])[H:23])[H:20])([H:18])[H:19])([H:15])([H:16])[H:17].[C:5]1([H:9])([H:10])[C:6]([C:7]([H:12])([H:13])[H:14])([H:11])[O:8]1>>[C:1]([C:2]([N+:3]([C:4]([H:21])([H:22])[H:23])([C:5]([C:6]([C:7]([H:12])([H:13])[H:14])([O-:8])[H:11])([H:9])[H:10])[H:20])([H:18])[H:19])([H:15])([H:16])[H:17]
0,47,33,[B:1]([H:13])([H:14])[H:15].[C:2](\[C:3]([C:4]([H:19])([H:20])[H:21])([H:17])[H:18])(=[C:5](/[C:6]([H:22])([H:23])[H:24])[c:7]1[c:8]([H:25])[c:9]([H:26])[c:10]([H:27])[c:11]([H:28])[c:12]1[H:29])[H:16]>>[B:1]([C:2]([C:3]([C:4]([H:19])([H:20])[H:21])([H:17])[H:18])([C:5]([C:6]([H:22])([H:23])[H:24])([c:7]1[c:8]([H:25])[c:9]([H:26])[c:10]([H:27])[c:11]([H:28])[c:12]1[H:29])[H:15])[H:16])([H:13])[H:14]
0,48,34,[Br:9][Br:12].[C:1]([O:2][c:3]1[c:4]([H:16])[c:5]([H:17])[c:6]([C:7](=[C:8]([H:19])[H:20])[H:18])[c:10]([H:21])[c:11]1[H:22])([H:13])([H:14])[H:15]>>[Br-:12].[C:1]([O:2][c:3]1[c:4]([H:16])[c:5]([H:17])[c:6]([C:7]2([H:18])[C:8]([H:19])([H:20])[Br+:9]2)[c:10]([H:21])[c:11]1[H:22])([H:13])([H:14])[H:15]
0,49,35,[Cl:1][C:2]1([H:9])[C:3]([Cl:8])([H:10])[O:4][C:5]([H:11])([H:12])[C:6]([H:13])([H:14])[C:7]1([H:15])[H:16]>>[Cl-:8].[Cl:1][C:2]1([H:9])[C:3]([H:10])=[O+:4][C:5]([H:11])([H:12])[C:6]([H:13])([H:14])[C:7]1([H:15])[H:16]
0,50,36,[S-:19][c:20]1[c:21]([H:28])[c:22]([H:29])[c:23]([H:30])[c:24]([H:31])[c:25]1[H:32].[c:1]1([H:33])[c:2]([H:34])[c:3]([H:35])[c:4]([C:5]([S+:6]([c:7]2[c:8]([H:38])[c:9]([H:39])[c:10]([H:40])[c:11]([H:41])[c:12]2[H:42])[c:18]2[c:17]([H:43])[c:16]([H:44])[c:15]([H:45])[c:27]([H:46])[c:26]2[H:47])([H:36])[H:37])[c:13]([H:48])[c:14]1[H:49]>>[c:15]1([H:45])[c:16]([H:44])[c:17]([H:43])[c:18]([S:6][c:7]2[c:21]([H:28])[c:22]([H:29])[c:23]([H:30])[c:24]([H:31])[c:25]2[H:32])[c:26]([H:47])[c:27]1[H:46].[c:1]1([H:33])[c:2]([H:34])[c:3]([H:35])[c:4]([C:5]([S:19][c:20]2[c:8]([H:38])[c:9]([H:39])[c:10]([H:40])[c:11]([H:41])[c:12]2[H:42])([H:36])[H:37])[c:13]([H:48])[c:14]1[H:49]
0,51,37,[C:1]([O-:2])([H:13])([H:14])[H:15].[C:3]([C:4]([C:5]([H:10])([H:11])[H:12])=[O:6])([Cl:7])([H:8])[H:9]>>[C:1]([O:2][C:3]([C:4]([C:5]([H:10])([H:11])[H:12])=[O:6])([H:8])[H:9])([H:13])([H:14])[H:15].[Cl-:7]
1,52,37,[C:1]([O-:2])([H:13])([H:14])[H:15].[C:3]([C:4]([C:5]([H:10])([H:11])[H:12])=[O:6])([Cl:7])([H:8])[H:9]>>[C:1]([O:2][H:9])([H:13])([H:14])[H:15].[C:3](=[C:4](/[C:5]([H:10])([H:11])[H:12])[O-:6])(\[Cl:7])[H:8]
2,53,37,[C:1]([O-:2])([H:13])([H:14])[H:15].[C:3]([C:4]([C:5]([H:10])([H:11])[H:12])=[O:6])([Cl:7])([H:8])[H:9]>>[C:1]([O:2][C:4]([C:3]([Cl:7])([H:8])[H:9])([C:5]([H:10])([H:11])[H:12])[O-:6])([H:13])([H:14])[H:15]
